Officel.Gene.Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	g
TSGA13	0.46831605	1.179158156	0.716077574	0.480405707	0.587370935	-6.439149216	stable
SPTY2D1	-0.452631672	1.141597537	-0.715958761	0.480477826	0.587426348	-6.439234556	stable
ANKHD1	-0.711565933	2.497790243	-0.715870563	0.480531366	0.587459042	-6.439297897	stable
LUC7L2	0.445831591	1.365087062	0.715722982	0.480620962	0.587504845	-6.439403869	stable
TNFRSF13B	0.147054621	0.256697013	0.715720557	0.480622434	0.587504845	-6.43940561	stable
ACAD8	0.64261068	1.955694028	0.715652315	0.480663868	0.58752273	-6.439454605	stable
KDM4A	0.297478834	0.313221152	0.715587894	0.480702983	0.58753778	-6.439500853	stable
POLA2	0.606356881	2.239311065	0.715349181	0.48084794	0.587657721	-6.439672187	stable
DNAJB7	0.204576213	0.276556081	0.715338	0.48085473	0.587657721	-6.439680211	stable
APOBEC3B	-0.367292971	0.846985248	-0.715007992	0.481055168	0.587856272	-6.439916978	stable
CRLF1	0.311656211	0.491254173	0.714982209	0.48107083	0.587856272	-6.439935472	stable
KLHL8	0.664605753	1.605372866	0.714868794	0.481139728	0.587907691	-6.440016816	stable
RAB19	-0.027368418	0.108884878	-0.713972776	0.481684245	0.588540234	-6.440659023	stable
INSL3	0.218887315	0.242840201	0.713874881	0.481743758	0.588580142	-6.440729141	stable
PDE7A	0.654856321	1.541586482	0.713575959	0.481925507	0.588769383	-6.440943189	stable
SORCS1	-0.285775627	0.3547397	-0.713177043	0.482168115	0.58903295	-6.441228705	stable
SF3B5	-0.946994363	6.220641261	-0.712783254	0.482407675	0.589292763	-6.4415104	stable
KIF9-AS1	-0.113926404	0.194856354	-0.712377163	0.482654789	0.589561534	-6.441800739	stable
ZBTB45	0.408645906	0.379289952	0.71220483	0.48275968	0.589561534	-6.441923903	stable
PARVA	0.906896073	4.371583153	0.712186346	0.482770931	0.589561534	-6.441937111	stable
ATP5L2	0.4058938	0.810292023	0.712124324	0.482808684	0.589561534	-6.441981429	stable
PRSS36	0.315768528	0.306183064	0.712123912	0.482808935	0.589561534	-6.441981724	stable
SMIM5	0.419999922	1.073938683	0.712115497	0.482814057	0.589561534	-6.441987736	stable
OMG	-0.323506376	0.39119016	-0.712112371	0.48281596	0.589561534	-6.44198997	stable
C12orf49	-0.283006213	0.404987257	-0.711777045	0.483020107	0.589777963	-6.44222951	stable
FBXO30	0.216093592	0.261201581	0.711546221	0.483160662	0.589916725	-6.442394336	stable
CRIP1	-0.784741057	6.815655546	-0.711133015	0.483412333	0.590191131	-6.442689268	stable
HIST2H4A	-0.04980615	0.116364121	-0.710991647	0.483498454	0.590263399	-6.442790134	stable
C1orf109	0.889818192	2.871421544	0.710592798	0.483741476	0.590527198	-6.443074607	stable
ZCCHC7	-0.746252314	2.889320868	-0.710489193	0.483804615	0.590571387	-6.443148478	stable
SLC19A3	0.691301467	2.269522695	0.710235651	0.483959149	0.590684604	-6.443329208	stable
DGKE	0.628121194	1.824458774	0.710197089	0.483982655	0.590684604	-6.443356691	stable
HIST3H2A	-0.361382756	0.424044896	-0.710163376	0.484003206	0.590684604	-6.443380716	stable
PTRHD1	-0.977076179	3.510776714	-0.71016019	0.484005148	0.590684604	-6.443382987	stable
NUAK2	-0.355756831	0.858224877	-0.709987538	0.484110401	0.590780165	-6.443506008	stable
FAM171B	-0.252643361	0.350467524	-0.709789232	0.48423131	0.59089482	-6.443647275	stable
PTTG1IP	-0.894837871	5.133568435	-0.709472817	0.484424268	0.591086749	-6.4438726	stable
EXOSC2	0.665283995	2.403695719	0.709442887	0.484442522	0.591086749	-6.443893909	stable
DROSHA	-0.875757335	2.782235979	-0.709031662	0.484693367	0.591359899	-6.444186593	stable
ZNF600	-0.3452148	0.869410452	-0.70866127	0.484919369	0.59160271	-6.444450076	stable
AGL	-0.338298961	0.540463678	-0.708398056	0.48508001	0.591765758	-6.444637235	stable
SULT1A1	-0.387957338	1.228666925	-0.708177543	0.485214615	0.591862077	-6.444793982	stable
TMEM159	0.683911335	3.842023979	0.708139561	0.485237802	0.591862077	-6.444820975	stable
NSMF	0.155448262	0.290386285	0.70813602	0.485239964	0.591862077	-6.444823492	stable
TCEAL3	0.608088802	0.953731747	0.707971735	0.485340262	0.591951477	-6.444940232	stable
HAS2	-0.349197018	0.671580878	-0.707771864	0.485462304	0.592059878	-6.445082225	stable
AMFR	-0.559846352	2.068065665	-0.707666594	0.485526588	0.592059878	-6.445156995	stable
TRIM52	0.590711581	2.186460941	0.707628009	0.485550152	0.592059878	-6.445184398	stable
SIRPB2	0.451769704	1.099944214	0.707618586	0.485555907	0.592059878	-6.445191091	stable
PSG7	0.37611043	0.356214644	0.707605031	0.485564185	0.592059878	-6.445200717	stable
SLC17A5	0.603042221	1.666375777	0.707409378	0.485683682	0.592172645	-6.445339644	stable
GDE1	-0.609035756	3.219069507	-0.707198721	0.485812361	0.592296594	-6.445489184	stable
AXIN2	-0.56514839	0.940580434	-0.706963186	0.48595626	0.592439085	-6.445656334	stable
RAB17	-0.298258425	0.41927737	-0.706856023	0.486021739	0.592453503	-6.445732365	stable
FNDC4	-0.088953569	0.157119203	-0.706855366	0.48602214	0.592453503	-6.445732831	stable
HNRNPD	-0.782994322	3.638465601	-0.706801925	0.486054796	0.592460364	-6.445770743	stable
SPTBN2	0.278970576	0.365438684	0.706656598	0.486143606	0.592535667	-6.445873826	stable
CHST7	-0.324038124	0.442600046	-0.706469172	0.486258155	0.592642334	-6.446006741	stable
TRUB1	-0.307721632	0.534278165	-0.706352301	0.486329592	0.592696447	-6.446089604	stable
CSNK2A3	-0.068634797	0.134213846	-0.706226956	0.486406214	0.592756873	-6.44617846	stable
ZNF696	0.10434299	0.22778109	0.706155927	0.486449638	0.592776836	-6.446228806	stable
SAMD1	-0.587454585	1.478026084	-0.705937463	0.486583207	0.592906641	-6.446383623	stable
ERI2	0.616061149	1.090295225	0.70585501	0.486633624	0.592935116	-6.446442042	stable
MIIP	0.242600165	0.391845288	0.705619315	0.48677776	0.593072714	-6.446608999	stable
VEPH1	0.342431135	0.412209112	0.705576468	0.486803965	0.593072714	-6.446639344	stable
TAF7L	0.090003465	0.160236206	0.705537631	0.486827719	0.593072714	-6.446666848	stable
ANKRD36	0.141408187	0.302705523	0.705486153	0.486859204	0.593078111	-6.446703302	stable
LRWD1	0.627248788	1.836042649	0.705011991	0.487149274	0.593382089	-6.447038957	stable
PTDSS1	-0.661821734	2.229657902	-0.704989757	0.487162878	0.593382089	-6.447054691	stable
NCS1	0.234586808	0.32458242	0.704883822	0.487227699	0.593409538	-6.447129649	stable
NKRF	0.591479567	1.257245911	0.704864447	0.487239555	0.593409538	-6.447143358	stable
FANCI	-0.760045263	2.522124825	-0.704723383	0.487325879	0.5934817	-6.447243154	stable
FAM207A	-0.438252864	0.710764522	-0.704596616	0.487403462	0.593543208	-6.447332819	stable
KIF4A	-0.566296615	1.45925735	-0.704283833	0.487594919	0.593743374	-6.447553991	stable
MUC15	0.050995027	0.135719749	0.703979367	0.487781326	0.593937369	-6.447769192	stable
ZRSR2	0.713180164	2.603532325	0.703889191	0.487836544	0.593969976	-6.447832912	stable
MPP6	0.611182386	1.566754559	0.703847135	0.487862297	0.593969976	-6.447862627	stable
NANOS3	-0.160406779	0.236917226	-0.703704972	0.487949358	0.594042978	-6.44796306	stable
ASPRV1	0.021770575	0.098477987	0.703626951	0.487997141	0.594068159	-6.448018171	stable
ARHGEF37	0.376589974	0.534976101	0.703282024	0.488208423	0.594292362	-6.448261745	stable
NFKBIE	0.303881739	0.449971182	0.703178603	0.488271783	0.594336485	-6.448334754	stable
TAOK2	0.437410984	0.753644126	0.703062203	0.4883431	0.594390288	-6.448416914	stable
SCAF4	0.510484948	0.99204712	0.702498887	0.48868832	0.594765666	-6.448814337	stable
CCDC102A	0.374273759	0.377157371	0.70247042	0.48870577	0.594765666	-6.448834413	stable
LSP1	-0.420646592	1.218900925	-0.702345016	0.488782642	0.594826198	-6.448922841	stable
ABLIM3	0.560636659	1.214476244	0.702283351	0.488820446	0.594839181	-6.448966319	stable
DARS2	-0.527012862	1.275084821	-0.702189061	0.488878253	0.594876502	-6.449032792	stable
MBD2	0.603397652	1.60361286	0.702119285	0.488921033	0.594895536	-6.449081977	stable
SSBP2	0.656304484	3.48912473	0.701518957	0.489289189	0.595310447	-6.449504956	stable
PHF8	-0.179235797	0.343921303	-0.701411856	0.489354887	0.595328154	-6.449580381	stable
DBIL5P2	0.250093658	0.502339076	0.701406685	0.489358059	0.595328154	-6.449584022	stable
P4HA2	-0.969121931	2.832928769	-0.701302937	0.489421704	0.595372541	-6.449657074	stable
FGFR4	-0.591775875	1.567239613	-0.700965222	0.489628913	0.595591554	-6.449894798	stable
MFN1	0.488745423	1.411513172	0.700918443	0.489657618	0.595593422	-6.449927718	stable
BBX	-0.769191164	4.487452203	-0.700836646	0.489707815	0.59559625	-6.449985276	stable
GP5	0.03453765	0.118120314	0.700795832	0.489732862	0.59559625	-6.450013993	stable
CMSS1	-0.800296502	2.641359073	-0.700781833	0.489741454	0.59559625	-6.450023843	stable
ATRIP	-0.172673356	0.263318175	-0.700658008	0.48981745	0.595655626	-6.450110956	stable
ZNF860	0.025777773	0.110875191	0.700222939	0.490084523	0.595947347	-6.450416918	stable
THAP9	-0.474240197	1.149298377	-0.700004672	0.49021854	0.596060556	-6.450570345	stable
TMTC4	-0.568340224	1.043422395	-0.699982746	0.490232004	0.596060556	-6.450585755	stable
RPS12	-0.607248314	9.988644944	-0.699904503	0.490280052	0.596085914	-6.450640742	stable
C11orf45	-0.423061071	0.489518094	-0.699758808	0.490369527	0.596161633	-6.450743116	stable
C12orf29	0.431606027	0.934249329	0.699571188	0.490484764	0.596268662	-6.450874918	stable
PDE4D	0.544126416	1.286008552	0.699418351	0.490578649	0.596349723	-6.450982262	stable
ARL6IP4	-0.916200204	3.079021922	-0.699047493	0.490806501	0.596593618	-6.451242634	stable
SLC7A2	0.258106676	0.456285966	0.698981545	0.490847025	0.596609795	-6.451288921	stable
RDH8	-0.048270488	0.115852234	-0.698882983	0.490907594	0.596650331	-6.451358091	stable
ZNF479	-0.048235395	0.115840536	-0.698602013	0.49108028	0.596827123	-6.451555222	stable
ADSS	-0.55942769	1.495687922	-0.698421308	0.491191361	0.596929029	-6.451681966	stable
PKHD1L1	-0.317214992	0.419240955	-0.698153273	0.491356151	0.597075937	-6.451869904	stable
RAB2A	-0.848807794	4.184760172	-0.698136081	0.491366722	0.597075937	-6.451881956	stable
ERVMER34-1	-0.216777231	0.605466604	-0.697870231	0.491530201	0.597240549	-6.452068289	stable
CMC4	-0.313113882	0.383669726	-0.697827175	0.49155668	0.597240549	-6.45209846	stable
CCS	-0.40631826	0.802833379	-0.697748978	0.491604774	0.597265878	-6.452153252	stable
FRMD8	-0.525728344	1.896877004	-0.697611375	0.491689409	0.597335599	-6.452249654	stable
PGAM4	0.34351703	0.565406908	0.697561251	0.491720241	0.597339951	-6.452284765	stable
FAM219B	0.78986001	2.417539672	0.697462039	0.491781271	0.597380985	-6.452354255	stable
RPUSD4	0.846389208	3.741791615	0.69740542	0.491816102	0.59739019	-6.452393908	stable
GLA	-0.731700818	1.696613459	-0.697238127	0.491919026	0.597482101	-6.452511053	stable
PATE4	0.312664741	0.439278699	0.697035422	0.492043752	0.597600481	-6.452652957	stable
CHST11	0.516808831	1.081065144	0.696890064	0.492133203	0.597676008	-6.452754692	stable
ATP11A-AS1	0.115072746	0.184436914	0.696549835	0.492342611	0.597894442	-6.452992734	stable
ZNF497	-0.21778542	0.33107869	-0.696509218	0.492367614	0.597894442	-6.453021145	stable
CASP14	0.145592557	0.279132099	0.696061335	0.492643368	0.598196159	-6.45333432	stable
LINC00635	-0.193696624	0.30551691	-0.69597255	0.492698042	0.59822941	-6.453396379	stable
LINC00261	0.634714523	0.909735868	0.695795792	0.492806899	0.598297341	-6.453519905	stable
IL23R	0.624404336	2.10282351	0.69579307	0.492808576	0.598297341	-6.453521808	stable
ASB13	-0.658404113	1.408186571	-0.695553914	0.492955884	0.598443038	-6.453688892	stable
SLC12A4	0.32900796	0.876897526	0.69547993	0.49300146	0.59846165	-6.45374057	stable
ALDH1A1	0.487194285	1.130579377	0.695419583	0.493038636	0.59846165	-6.453782717	stable
TTC9C	-0.69583065	2.979037138	-0.695396076	0.493053118	0.59846165	-6.453799134	stable
HPS6	-0.306047024	0.431602295	-0.694881491	0.493370196	0.598784581	-6.454158379	stable
FCHSD1	0.362850785	0.56722079	0.694875641	0.493373802	0.598784581	-6.454162462	stable
MMP17	0.40157331	0.545922435	0.694818715	0.493408886	0.598794009	-6.454202188	stable
OXR1	0.648920283	1.685122623	0.694681224	0.493493629	0.598863698	-6.454298122	stable
RIC8B	0.582909584	1.139191152	0.694131569	0.493832493	0.59923697	-6.454681461	stable
SFXN3	0.549257263	2.456394628	0.694093616	0.493855896	0.59923697	-6.45470792	stable
B3GALT1	0.72375478	1.127910573	0.693873099	0.493991886	0.59935509	-6.454861622	stable
SCFD1	0.727436343	4.010671777	0.69384709	0.494007927	0.59935509	-6.454879747	stable
DHRS2	0.416914816	0.805850446	0.693602716	0.494158657	0.599504782	-6.455050017	stable
HBD	0.334329693	0.446066495	0.693457916	0.494247982	0.599527555	-6.455150881	stable
PLCB3	-0.435511011	0.819919675	-0.693456539	0.494248832	0.599527555	-6.45515184	stable
LSM14B	0.225983845	0.293653159	0.693439285	0.494259476	0.599527555	-6.455163857	stable
RIN3	-0.43266125	0.556616098	-0.693322904	0.494331277	0.599581471	-6.455244908	stable
CREG1	-0.659053234	2.176782031	-0.692818378	0.494642613	0.5999259	-6.455596122	stable
ZDHHC8	0.178775391	0.278095863	0.692767856	0.494673795	0.599930526	-6.455631278	stable
PART1	0.498474373	1.259984971	0.692588587	0.494784451	0.60003153	-6.455756004	stable
NUPL1	-0.528705147	2.822293298	-0.692446406	0.494872223	0.600104774	-6.455854904	stable
SNX16	0.455444799	0.88315293	0.692379045	0.49491381	0.600122006	-6.455901753	stable
EPHA8	-0.065072314	0.132608451	-0.692226446	0.495008028	0.600203052	-6.456007868	stable
ERF	0.460102966	0.609821703	0.691909931	0.495203483	0.600406833	-6.456227895	stable
AASDHPPT	0.703675876	2.581829017	0.691445332	0.495490462	0.600721554	-6.456550689	stable
MTTP	-0.322721502	0.401082906	-0.691174104	0.495658042	0.600891491	-6.456739036	stable
DAP	-0.728990871	2.315660062	-0.691061979	0.495727328	0.600936707	-6.456816878	stable
KLHL42	-0.427317476	0.976942953	-0.691000113	0.495765559	0.600936707	-6.456859822	stable
TPPP2	-0.053754239	0.126258284	-0.690980661	0.49577758	0.600936707	-6.456873324	stable
ADCY9	0.17435871	0.463943316	0.690664933	0.495972721	0.601122383	-6.457092425	stable
LINC00320	0.395829375	0.374969835	0.69064195	0.495986928	0.601122383	-6.45710837	stable
ULK4P3	-0.055460456	0.11824889	-0.690599721	0.496013032	0.601122383	-6.457137666	stable
ARV1	0.346331417	0.582438092	0.690445453	0.4961084	0.601204723	-6.457244677	stable
SPRYD7	0.657454123	2.910296224	0.689938255	0.496422021	0.60154152	-6.457596338	stable
CNGA1	-0.428822395	0.749489691	-0.689872741	0.496462539	0.60154152	-6.457641744	stable
FRA10AC1	-0.6553977	1.430221326	-0.689862868	0.496468645	0.60154152	-6.457648586	stable
TRMT112	-0.980281904	5.835718081	-0.689644853	0.496603495	0.601671652	-6.457799653	stable
SH3RF3	0.234654342	0.274239937	0.68949341	0.496697178	0.601751898	-6.457904563	stable
LPPR4	0.297303013	0.319909731	0.689376065	0.496769776	0.601806591	-6.457985837	stable
C1QBP	-0.754736378	3.102553316	-0.68915705	0.496905291	0.601921126	-6.458137494	stable
DEPDC4	0.649519983	1.794998816	0.68913451	0.496919238	0.601921126	-6.458153098	stable
PEA15	-0.810015508	3.405053595	-0.688931897	0.497044624	0.602039739	-6.458293352	stable
SLC6A20	0.543982457	0.929974262	0.688862834	0.497087368	0.602058245	-6.45834115	stable
MALT1	0.37687634	0.846181458	0.688705831	0.497184545	0.602142675	-6.458449793	stable
IKZF3	-0.056255613	0.130091853	-0.688568562	0.497269517	0.602159755	-6.45854476	stable
NFIX	0.583463404	0.801245055	0.688552825	0.497279259	0.602159755	-6.458555647	stable
TLN2	-0.597751186	0.976693664	-0.68854992	0.497281057	0.602159755	-6.458557656	stable
PLEKHJ1	-0.823885117	3.977660852	-0.688270842	0.497453839	0.602335705	-6.458750672	stable
AP4S1	0.377832985	0.934709938	0.688180962	0.497509492	0.602369819	-6.458812818	stable
VEGFC	0.26476483	0.40478158	0.688078154	0.497573155	0.60238855	-6.458883895	stable
CGREF1	-0.43558719	0.850064668	-0.688067226	0.497579922	0.60238855	-6.458891449	stable
COMMD1	-0.804452737	4.149780134	-0.68801058	0.497615001	0.602397749	-6.458930606	stable
SPATS1	-0.394643818	0.46370855	-0.687718058	0.497796175	0.602568433	-6.459132765	stable
HOXA4	0.554369296	0.837462982	0.68769417	0.497810973	0.602568433	-6.45914927	stable
CECR1	-0.629875302	2.134368801	-0.687461307	0.497955226	0.602701154	-6.459310135	stable
PDCD4	-0.73617494	3.873302066	-0.687428408	0.497975608	0.602701154	-6.459332858	stable
ALPK2	-0.305204657	0.466588039	-0.687004384	0.498238348	0.602985856	-6.459625631	stable
POGZ	0.583518068	2.467688117	0.686445884	0.498584532	0.60337151	-6.460010988	stable
TJP1	0.648256081	4.154382716	0.686000243	0.498860859	0.603639593	-6.460318259	stable
PLCH2	0.025463865	0.107504831	0.685999804	0.498861131	0.603639593	-6.460318561	stable
CDC34	0.577002052	0.899192955	0.685882316	0.498933996	0.603694437	-6.460399537	stable
KDM8	-0.37128858	0.461375501	-0.685681946	0.499058277	0.603811485	-6.460537607	stable
GRAMD1B	-0.235760983	0.424452878	-0.68534321	0.49926842	0.604032399	-6.460770934	stable
VTRNA1-1	-0.537636388	0.616559131	-0.685045286	0.499453286	0.604222708	-6.460976056	stable
XPOT	-0.546973924	2.767759541	-0.684879232	0.499556341	0.60431403	-6.461090347	stable
PLXNB2	-0.755159187	2.046648286	-0.684755657	0.499633041	0.604353798	-6.461175385	stable
LRPAP1	0.559179418	3.735813086	0.68473743	0.499644354	0.604353798	-6.461187926	stable
TSPAN4	0.620943814	1.297109396	0.68460577	0.499726081	0.604419301	-6.461278508	stable
IL7R	-0.710346565	2.28990852	-0.684505041	0.499788612	0.604461581	-6.461347798	stable
SSU72	-0.642126647	3.298825062	-0.684261611	0.499939749	0.604611014	-6.46151521	stable
TMEM229B	0.377972217	0.751137634	0.684189522	0.499984511	0.604631791	-6.461564776	stable
FBXW10	0.281177556	0.648233319	0.683723292	0.500274063	0.604934834	-6.461885219	stable
MBTD1	0.36551411	1.112935245	0.683697157	0.500290297	0.604934834	-6.461903176	stable
CCDC152	-0.337893586	0.985749231	-0.683559659	0.50037571	0.60500474	-6.461997636	stable
NAA60	0.838186013	3.316342031	0.683363273	0.500497717	0.605118882	-6.462132518	stable
LETM2	0.640630835	1.775894625	0.683318603	0.500525471	0.605119063	-6.462163194	stable
SH3D21	-0.069983923	0.139014869	-0.683222322	0.500585295	0.605158013	-6.462229305	stable
RPL13AP20	0.534425861	1.684265948	0.683040412	0.500698335	0.605247447	-6.462354188	stable
ISX	0.378458715	1.085150441	0.683014408	0.500714496	0.605247447	-6.462372037	stable
ACSBG1	-0.458665574	2.12923756	-0.682576983	0.500986377	0.605532037	-6.46267219	stable
MSL2	-0.363419595	0.91453858	-0.682546737	0.50100518	0.605532037	-6.462692938	stable
LPHN3	0.439111465	0.58133728	0.682406654	0.501092268	0.605603904	-6.462789017	stable
MCEE	0.706356066	1.81985251	0.682229349	0.501202509	0.605703743	-6.462910598	stable
PPP2R2D	0.659740442	1.808894137	0.68202584	0.50132906	0.605823281	-6.463050111	stable
C16orf74	0.606638869	0.958107788	0.681461547	0.501680054	0.606214016	-6.463436744	stable
AMOTL2	0.575443968	1.549826009	0.681404591	0.501715488	0.606223416	-6.463475751	stable
BAALC	-0.061802786	0.130291416	-0.680884772	0.502038954	0.606580825	-6.463831611	stable
MED14	0.591015537	1.522147298	0.680662377	0.502177379	0.606714634	-6.463983779	stable
GLTP	0.712750891	3.512743601	0.680536864	0.502255511	0.606775589	-6.464069637	stable
ZFP91-CNTF	-0.195179368	0.270878993	-0.680367263	0.502361099	0.606869704	-6.464185629	stable
GALNT10	-0.563032251	2.396321945	-0.680219378	0.502453177	0.60692415	-6.464286746	stable
DBN1	0.52286054	1.006473288	0.680176188	0.50248007	0.60692415	-6.464316274	stable
TLL2	0.206759046	0.404910381	0.68016148	0.502489229	0.60692415	-6.464326329	stable
ARHGAP11A	0.632177302	2.197173234	0.680071803	0.502545071	0.606958155	-6.464387631	stable
MEF2BNB-MEF2B	-0.158223893	0.279393586	-0.680002469	0.502588249	0.606965797	-6.464435021	stable
TMEM115	0.326446053	0.606810603	0.679933051	0.502631481	0.606965797	-6.464482465	stable
POP4	0.633896943	2.51164974	0.679928259	0.502634465	0.606965797	-6.46448574	stable
TAB1	0.312985379	0.475798027	0.67981284	0.50270635	0.607019164	-6.464564611	stable
NNMT	-0.827068781	4.97534674	-0.679499721	0.502901395	0.607221233	-6.464778515	stable
HERC2P4	0.228269799	0.307378797	0.679408474	0.502958242	0.607256423	-6.464840833	stable
DDX58	0.654835724	0.977689469	0.679179905	0.503100655	0.607394915	-6.464996897	stable
ARSD	0.674841565	2.409870061	0.678920128	0.503262541	0.607556898	-6.465174209	stable
NTMT1	-0.788418966	4.06995738	-0.67885882	0.50330075	0.607569566	-6.465216045	stable
GABARAPL2	-0.753967107	5.295849226	-0.678681264	0.50341142	0.60763701	-6.465337189	stable
TUBAL3	-0.027603373	0.115698712	-0.678680239	0.503412059	0.60763701	-6.465337888	stable
PCDHGC3	-0.420881519	0.764905665	-0.678382319	0.503597781	0.607827715	-6.465541084	stable
EID1	0.845374676	4.974056244	0.677999203	0.50383667	0.608082566	-6.465802262	stable
APOBEC3D	0.407945817	1.319651456	0.677497129	0.504149831	0.608427023	-6.466144322	stable
ACAT1	-0.750963247	4.224903083	-0.677398997	0.504211051	0.608454889	-6.466211149	stable
TRIM5	0.784860324	2.887113179	0.677371135	0.504228435	0.608454889	-6.466230122	stable
HS3ST4	-0.048947352	0.121118256	-0.677217615	0.50432422	0.608536975	-6.466334646	stable
MEOX1	0.507372047	0.842342817	0.676735496	0.504625094	0.608852412	-6.466662749	stable
BLVRA	-0.57714714	1.302185022	-0.676709713	0.504641187	0.608852412	-6.466680289	stable
BLCAP	-0.692689867	3.668183203	-0.675972806	0.505101268	0.609373963	-6.467181334	stable
TM7SF2	0.432158156	0.651091361	0.675780285	0.505221505	0.609485478	-6.467312147	stable
RANBP3	-0.798834669	3.131841126	-0.6757027	0.505269965	0.609510395	-6.467364854	stable
DUSP2	-0.181687653	0.261473241	-0.675463067	0.505419656	0.609657419	-6.467527611	stable
MICA	0.625924019	1.190486924	0.675146424	0.50561749	0.609862496	-6.467742587	stable
APOO	-0.802568588	1.948117063	-0.675030921	0.505689665	0.609915992	-6.46782098	stable
YIPF7	0.474915751	0.438720895	0.674936095	0.505748925	0.609953905	-6.467885331	stable
CCDC172	0.020313415	0.092990933	0.674682983	0.50590712	0.610111129	-6.468057053	stable
ERMP1	-0.520032978	1.133461408	-0.674609712	0.50595292	0.610132795	-6.468106751	stable
GALT	-0.383797956	0.627526136	-0.674424598	0.506068639	0.610238772	-6.468232288	stable
RPLP1	-0.663941116	12.8189684	-0.674265013	0.506168412	0.610325509	-6.468340485	stable
BTC	0.303027537	0.426886125	0.674182019	0.506220304	0.610354506	-6.468396745	stable
ZNF821	-0.145447607	0.242876357	-0.674071642	0.506289322	0.610404148	-6.468471556	stable
ACTR5	0.278502543	0.394937103	0.673912924	0.506388577	0.610490238	-6.468579112	stable
ZDHHC2	-0.333707834	0.711929113	-0.673836597	0.506436312	0.61051421	-6.468630826	stable
RPSA	-0.611581041	6.524503129	-0.673295727	0.506774645	0.610888479	-6.468997123	stable
ASB7	0.439126092	0.856274355	0.673138927	0.506872752	0.610930887	-6.46910326	stable
TMEM64	-0.417471669	0.827385407	-0.673084849	0.506906591	0.610930887	-6.46913986	stable
RGSL1	0.42167226	0.826091929	0.673084421	0.506906858	0.610930887	-6.46914015	stable
SPRED1	0.486778646	1.920389449	0.673061336	0.506921304	0.610930887	-6.469155773	stable
GADD45A	0.239121054	0.494988077	0.672840825	0.507059299	0.611063601	-6.469304979	stable
IRAK1	-0.695115464	2.109797174	-0.672384422	0.507344983	0.611374272	-6.46961365	stable
ANKRD28	0.43642347	0.971918463	0.672305051	0.507394674	0.611400542	-6.469667309	stable
MED31	-0.624466935	1.434911072	-0.672202084	0.507459142	0.611444613	-6.469736911	stable
NFKB2	-0.454613808	0.863031681	-0.671995585	0.507588444	0.611566796	-6.469876465	stable
MYH7	-0.059172059	0.126091951	-0.671667011	0.507794224	0.611781104	-6.470098435	stable
SGOL1-AS1	-0.185630684	0.327230361	-0.671413945	0.507952746	0.611938456	-6.470269323	stable
APTX	0.454097253	0.823503687	0.671202042	0.508085505	0.612064755	-6.470412367	stable
LRIG1	0.566140639	1.152832304	0.670945375	0.508246334	0.612224853	-6.470585571	stable
RPL17	-0.584639925	8.020870476	-0.670834871	0.508315585	0.612274627	-6.470660121	stable
CHFR	0.544641309	2.479836765	0.670663516	0.508422981	0.612342155	-6.470775701	stable
FAM166A	-0.69325987	3.500966927	-0.670656282	0.508427515	0.612342155	-6.47078058	stable
PMS2	-0.49210734	1.578446896	-0.670285411	0.508660001	0.612588501	-6.471030634	stable
GALNT18	-0.401926816	0.536060159	-0.669805778	0.508960754	0.612908667	-6.47135382	stable
ZDHHC21	0.708651493	1.670222884	0.669772269	0.508981769	0.612908667	-6.471376391	stable
MATN1	-0.052459799	0.117248671	-0.669501757	0.509151441	0.613079304	-6.47155856	stable
STK4	0.659024563	3.627522376	0.669384741	0.509224846	0.613134013	-6.47163734	stable
DAB2IP	-0.486527323	0.834700041	-0.66933107	0.509258516	0.613140876	-6.471673469	stable
FOXN3-AS1	-0.07311898	0.153380191	-0.669261837	0.509301951	0.613159494	-6.471720069	stable
TTC7B	0.715662453	2.195194363	0.669203254	0.509338705	0.613168982	-6.471759497	stable
ZNF614	0.45931003	1.122490911	0.669160108	0.509365775	0.613168982	-6.471788533	stable
ENPP3	0.412002475	0.547479619	0.668994232	0.509469857	0.613243425	-6.471900148	stable
C2orf74	0.509913208	0.925508466	0.668972385	0.509483566	0.613243425	-6.471914847	stable
POLG	-0.633616413	1.795851966	-0.668782525	0.509602712	0.613353158	-6.472042563	stable
GOLGA8EP	-0.055738327	0.123441366	-0.668208829	0.509962828	0.613739236	-6.472428268	stable
NUDT1	0.871738912	2.382378427	0.668182306	0.509979481	0.613739236	-6.472446092	stable
SSC5D	0.035245226	0.127597616	0.668024455	0.510078592	0.613824814	-6.472552158	stable
C19orf43	-0.891368019	4.252734718	-0.666930376	0.510765836	0.614618098	-6.473286643	stable
ZNF93	-0.493984044	0.907177483	-0.666507561	0.511031564	0.614904101	-6.473570179	stable
HSPA4	0.593719364	3.371359793	0.665693998	0.511543082	0.615485806	-6.47411526	stable
CCT6P3	-0.203733037	0.510161375	-0.6656079	0.511597231	0.615517173	-6.474172907	stable
HSPBAP1	-0.368281992	0.742114479	-0.665350195	0.511759328	0.615678406	-6.474345411	stable
SLC7A14	-0.330780785	0.824349098	-0.6651827	0.511864698	0.615771378	-6.474457495	stable
YTHDC1	0.83158932	2.795204114	0.664977677	0.511993694	0.61589276	-6.474594656	stable
JAG2	-0.264075044	0.350494621	-0.664843285	0.512078259	0.615960685	-6.474684542	stable
